"Team","Name","Region","Region_id"
"100 Thieves","Tenacity •  Ssumday •  Closer •  Abbedagge •  FBI •  huhi","North America",7
"100 Academy","Gamsu •  Kenvi •  JimieN •  Wixxi •  Busio","North America",7
"100 Next","General Sniper •  Fanatiik •  Will •  Insanity •  Array •  Sword •  Mist  (Head Coach/Support)","North America",7
"Aquinas College","JudgeGrudge •  Namwen •  Stevenator •  YaaYeet •  ArmorClass •  uhh yeahh","North America",7
"AOE Ginger Turmeric","existence •  SiddyWiddy •  CptShrimps •  lens •  Duoking •  Sunlight •  Vakin •  DNA •  Tempest •  Le Grain","North America",7
"Arizona State","Firetheft •  Firinz •  Juke Jouster •  Zeshoo •  Pseudo •  hansha •  Skarmori","North America",7
"Bay State College","Akira Hou •  Bejjaniii •  Topo •  Devil deGrey •  Dragonminkim •  Ralyk •  Seranok •  Sophist Sage •  Jurassiq •  Swordblue •  admirable potato","North America",7
"Bethany Lutheran","Oraces •  Hunter •  EQon •  dog2 •  wizardish •  Bodast •  Hollywood •  Mental","North America",7
"CLG Academy","Dhokla •  RoseThorn •  Damonte •  Triple •  Meech •  Breezy","North America",7
"Cloud9","Fudge •  Blaber •  Jensen •  Berserker •  Zven •  Svenskeren","North America",7
"C9 Academy","Darshan •  Sheiden •  Copy •  k1ng •  Zven •  Destiny","North America",7
"Colorado State","Auberon •  Carson •  Ritual •  Copari •  Keetchie •  dylpickle123 •  venona •  plez","North America",7
"Columbia College","rovex","North America",7
"Converse University","Izaac •  Daydream •  Hyphe •  Pantheret02 •  ScaryJerry •  Alastair •  rocks908 •  Gummyhat  (Strategic Coach/Top)","North America",7
"CLG","Jenkins •  Contractz •  Palafox •  Luger •  Poome","North America",7
"Dark Matter","Boil •  Onehan •  Han Jae •  Nhavilay •  Bellow •  YaaYeet","North America",7
"Dignitas","River •  Blue •  Neo •  Biofrost","North America",7
"Dignitas Academy","Eclipse •  eXyu •  DARKWINGS •  Spawn •  JayJ","North America",7
"EG Academy","Srtty •  Tomio •  Soligo •  Kaori •  SkyTec","North America",7
"EG Prodigies","Faisal •  Perry •  LEO99 •  Daption","North America",7
"Evil Geniuses","Impact •  Inspired •  jojopyun •  Shiro •  Vulcan","North America",7
"Fanshawe College","Cavele •  Suutekh •  8yen •  Redluma •  Boon","North America",7
"Florida Southern","Good Kid AJ •  Doraikon •  Dragowski •  HipsterG •  Flaynndappy","North America",7
"Florida State","Pain •  Oronuke •  rockonhi5 •  Gristlestick2 •  Cell","North America",7
"FlyQuest","Kumo •  Josedeodo •  toucouille •  Johnsun •  aphromoo","North America",7
"FlyQuest Academy","Philip •  Yuuji •  Spirax •  Tomo •  Diamond","North America",7
"Glaive Esports Prime","Notzu •  Diomarr •  Cendilion •  Turc •  cooplew14 •  rachet00","North America",7
"Golden Guardians","Licorice •  Pridestalker •  Ablazeolive •  Lost •  Olleh","North America",7
"GG Academy","Tony Top •  Iconic •  ry0ma •  Chime","North America",7
"Grand View","Prankuru •  Kolthro •  Meslo •  airren •  Plutx •  Fritz •  learning brain •  Koskinen •  P1atypus •  Synotic","North America",7
"Harrisburg University","CloudNguyen •  Lxwrence •  ShorterACE •  Zile •  HighKeySavage •  Emps •  Hopeful •  Maykel •  Loop •  Clyde","North America",7
"Illinois State","Disconnector •  GFP •  DrewDozer •  Nuclear •  Nausicaa •  Tempos •  datdat1  (Assistant Coach/Top)","North America",7
"Illinois Wesleyan","Sharks R us •  Pythagoras •  Rune Weaver •  Wigeon •  Schoon •  HandyTaco •  Fizzi •  Dogge •  Animosity •  Kongzhi","North America",7
"Immortals","Revenge •  PowerOfEvil •  Arrow •  IgNar","North America",7
"IMT Academy","Concept •  Chad •  Pretty •  Joey","North America",7
"Last Resistance","Elated •  KingClueless •  Stretfa •  Exothy •  Justin •  Luck Man •  T0WN","North America",7
"Life Support","No Roster Avalable","North America",7
"Louisiana State","JRC","North America",7
"Lourdes University","srgntcam •  Rogue •  Shinsei •  yung van •  venkon","North America",7
"Maryville University","Niles •  OddOrange •  Kind •  Getback •  APA •  Azog •  EvanRL •  Shady •  Zyko","North America",7
"Meme Stream Team","No Roster Avalable","North America",7
"Miami University","JayNitro •  Evil Lobster •  Cleave •  Snakobki •  Troy •  iBjen","North America",7
"Michigan State","Sunlight •  really big meme •  Ianse •  Zethal •  Argentum •  Livatious •  Cylainius","North America",7
"Missouri Valley Coll","Davipazzini •  1847 •  Rauschenberg •  Thunderzinho","North America",7
"NALCS Players Association","No Roster Avalable","North America",7
"Nameless Randoms","Koic •  Detention •  Pynt •  Z Score","North America",7
"NC State","Jas","North America",7
"Northeastern","Jebem •  mode 0 •  Aloneus •  D4ZE •  FlyingHippo •  Stale Bagel •  woongst •  Phoenix •  An Oink •  Hiccup","North America",7
"Oakland University","Wzec •  Itsjon •  Muszyn •  Kealan •  Endrit •  MrNefarious •  Bellow","North America",7
"Ohio Northern","Aggression •  Kuhz •  Kado •  Direland •  Kaii","North America",7
"Ottawa University","Brixton •  Kota •  Blonde •  Levi Pug •  9Lives","North America",7
"Polar Ace","No Roster Avalable","North America",7
"Purdue University","4rch","North America",7
"Purdue Northwest","Dawg •  Soulendrik •  Noyoustink •  ISO ISO •  Barrera3 •  UdonBdon","North America",7
"St Louis University","Cozy •  Matty •  Strompest •  Doxa •  Teesum •  AndyBendy •  Zaga  (Head Coach/Jungle)","North America",7
"San Jose State","Tomgoku •  Ceol •  TTea •  Nelo •  Pedro","North America",7
"Simon Fraser","Jinsoul •  Shirabii •  happyheart •  otto is gun •  cob68","North America",7
"St Clair College","Ricky •  Fresh •  Zefirot •  Barlo •  Feiz •  Nakuteiken •  Verge","North America",7
"University at Buffalo","Emprisonner •  Derty •  Kenas •  Oriku •  Nyeong •  Areeb •  Delay No More","North America",7
"Supernova","Ariendel •  Clyde","North America",7
"Taco Gaming","Cozy •  Trixter •  Doxa •  Links •  rovex •  Qwacker •  Latence","North America",7
"Team Ambition","Decoy •  Nemesis9 •  Deity •  Chookies •  rockonhi5 •  SirZepre •  Nightstar","North America",7
"Team Cloud Drake","No Roster Avalable","North America",7
"Team Infernal Drake","No Roster Avalable","North America",7
"Team Liquid","Bwipo •  Santorin •  Bjergsen •  Hans sama •  CoreJJ","North America",7
"TL Academy","Bradley •  Grig •  Haeri •  Yeon •  Eyla","North America",7
"Team Mountain Drake","No Roster Avalable","North America",7
"Team Ocean Drake","No Roster Avalable","North America",7
"Third Party","Zamudo •  Janan •  Messages •  Lunar •  Ran Out of Wit •  MikeYeung •  Aito","North America",7
"Trances Tyrants","Pingpaddler •  evileyes •  Steefo •  Tomeito •  Kongzhi •  Trance  (Head Coach/Support)","North America",7
"TSM","Huni •  Spica •  Maple •  Tactical •  Shenyi","North America",7
"TSM Academy","animegirl •  Hyper •  Takeover •  Instinct •  Mia •  Yursan","North America",7
"Umbra Collective","sgrug4 •  RebelGang •  Marksboy •  SirCaptFair •  Revolved","North America",7
"University of BC","soupfan4 •  Swkeeee •  Shin Chin","North America",7
"UC Berkeley","Millennium Fox •  Issys Cutie •  RexRequired","North America",7
"UC Irvine","Dongha •  Berik •  ikuta lilas •  TacoVaco •  duong pro •  XiaoDanny •  Cinnamon Bread •  Sahori •  Misterdot •  dtro18 •  Kim Down","North America",7
"UCLA","The First Poro •  DouyuTV 14502 •  Temetrius Morant •  noak •  The Doggo •  Alibye •  Prosciutto •  Straws •  Rydragon","North America",7
"UC Riverside","Damloss •  ye yu •  Asianknight •  Nima •  SlyLego","North America",7
"UC San Diego","Anx •  KingClueless •  lemontartdreamer •  Disrespectful •  Unless •  Optimizer •  end credits","North America",7
"CU Boulder","Nurdistheword •  Muffinhawker •  Sarorian •  Deity •  rax •  MalevolentTitan","North America",7
"University of Denver","Resabyss •  Tigeg •  Only E For You •  Dr1v9 •  Duck3 •  Nickinator72  (Sub/Bot) •  Dankana4  (Sub/Jungle)","North America",7
"Illinois","Qwacker •  Kuderic •  JustChilln •  CarbonDiO  (Support/Coach)","North America",7
"UL Lafayette","ponder •  Sielant •  LOAFman •  YouMessedUp •  ArcDusk •  littlekingrmd •  MobaMouse •  Legacy •  slug •  On Razors Edge •  THE KRISP CHIN  (Sub/Support) •  VulpineMask  (Sub/Mid)","North America",7
"Uni of Michigan","Shamwwow •  Doowan •  Jouzef •  Doomfully •  DGMaster •  Sayhoon •  MexicanThunder •  Atout","North America",7
"University of NA","GG •  Solitified •  Skele •  Crackadon •  T0WN •  riversided •  ScaryJerry •  Nhavilay •  Tree Star •  Xav","North America",7
"University of Ottawa","EMBOR900 •  gumbee power •  Oni Akuma •  TA4LIFE •  sprinklrr","North America",7
"Uni of South Florida","Wu Xing •  Dandelion Yi •  chenchen •  niick •  Inzania","North America",7
"Uni of St Thomas","TC porsche •  Kitzuo •  RobbyBob •  Shogo •  Chookies •  Nova  (Head Coach/Jungle/Bot)","North America",7
"UT Austin","YellowBumbleBee •  CRY NOW •  naas •  Loopsers •  yeoun","North America",7
"UT Dallas","Dasori •  Hukiri Lee •  Smelp •  Good Sir •  Jraff •  TreeKangar00 •  kr4zykilla •  Objective Bounty •  Hemal  (Head Coach/Mid)","North America",7
"University of Toronto","NoticeMeSenpai •  Oltan •  DeafRef •  RyanthekidRS •  blue612 •  LittleFrosty","North America",7
"U of T Scarborough","Red Eclipse •  Spect •  Pyoneer •  Lancrize •  Wentao Yang","North America",7
"Uni of Waterloo","Inexhaustive •  DarkX •  usephysics •  callum koi •  sai desu","North America",7
"Western University","DrCalculus •  Grovy •  Sybr •  Winston •  Loyal •  Pynt •  Gorica •  Oland •  Links","North America",7
"Verity Esports","Solitified •  Sol •  Nebula •  Dear Vista •  Protos •  Legacy","North America",7
