"Name","Season","Region","Games","Win.rate","K.D","GPM","GDM","Game.duration","Kills...game","Deaths...game","Towers.killed","Towers.lost","FB.","FT.","DRAPG","DRA.","HERPG","HER.","DRA.15","TD.15","GD.15","NASHPG","NASH.","CSM","DPM","WPM","VWPM","WCPM","Region_ID"
"100 Thieves",12,"N/A",35,60,1.25,1820,58,497,13.5,10.8,6.7,5.3,51.4,45.7,2.63,55.1,1.26,64.3,0.91,0.1,512,0.83,58.6,33,1896,3.4,1.32,1.48,22
"100 Thieves Academy",12,"N/A",62,54.8,1.11,1859,45,466,15.2,13.7,6.9,6,56.5,46.8,2.29,50,0.79,42.7,0.84,-0.1,539,0.73,49.3,33.3,2066,2.8,1.01,1.27,22
"100 Thieves Next",12,"N/A",6,33.3,0.84,1773,-69,275,11.7,13.7,4.7,6.8,66.7,33.3,1.83,48.6,0.33,16.7,0.67,0,-14,0.5,50,32.1,1891,3.3,0.94,1.25,22
"5 Ronin",12,"TR",24,54.2,1.15,1827,53,483,14.8,12.9,6.4,6.2,45.8,54.2,2.5,54.7,1.29,64.6,1.21,0.2,862,0.58,45.1,32,1944,3.2,1.46,1.44,32
"5 Ronin Academy",12,"TR",18,22.2,0.62,1662,-239,363,10.1,16.2,4.2,7.7,44.4,33.3,1.67,38.5,0.72,38.9,0.78,-0.6,-1770,0.44,27.8,31.1,1614,2.5,0.92,1.08,32
"AGO ROGUE",12,"PL",36,77.8,1.93,1961,286,475,20.4,10.4,8.1,4.3,52.8,47.2,2.42,53.3,0.97,52.8,0.69,-0.2,1113,0.86,66.7,33.8,2282,2.8,0.96,1.24,26
"All Knights",12,"LAT",15,26.7,0.8,1742,-127,640,14.5,18.3,4.8,7.7,53.3,46.7,2.53,51.9,0.8,40,0.87,-0.3,-476,0.53,26.7,31.7,1902,3.4,1.32,1.45,20
"aNc Outplayed",12,"IT",18,55.6,0.93,1787,36,470,13.1,14,6.7,6.1,16.7,72.2,2.33,54.5,0.94,47.2,0.78,0.2,186,0.89,56.9,31.3,2158,2.9,1.14,1.3,14
"Anorthosis Famagusta Esports",12,"GR",17,58.8,1.22,1849,70,469,18.3,14.9,6.7,6,58.8,47.1,2.88,57.9,1.12,61.8,1.06,0,-162,0.76,56.3,30.1,2143,2.7,0.93,1.21,13
"Anyone s Legend",12,"CN",40,35,0.92,1748,-111,483,13.2,14.4,4.8,7,67.5,30,2.13,48.7,0,0,0,0,0,0.65,45.7,32,1792,0,0,0,5
"Astralis",12,"EUW",18,16.7,0.76,1706,-192,594,11.9,15.7,4.2,8.4,61.1,33.3,1.78,37.9,0.44,22.2,0.5,-0.2,-978,0.56,31.5,31.6,1748,3.3,1.46,1.41,11
"Astralis Talent",12,"EUW",18,33.3,0.97,1724,-39,673,14.3,14.8,5.8,6.4,50,50,2.39,45.6,0.89,44.4,0.78,-0.1,-969,0.89,55.9,30.3,2106,2.9,1.1,1.44,11
"Atleta Esport",12,"IT",30,56.7,1.14,1827,46,544,17.1,14.9,6.7,5.7,40,56.7,2.73,55.6,1.13,58.3,0.8,0.1,293,0.87,63.1,31.3,2061,2.9,1.05,1.37,14
"Atletec",12,"FR",21,47.6,0.99,1793,11,529,15.2,15.3,6,6.4,38.1,33.3,2.19,42.9,0.9,45.2,1.05,-0.2,-185,0.76,50,31.8,2167,3.1,1.31,1.32,12
"Auxesis Esports",12,"RS",21,47.6,0.89,1757,-52,522,14.3,16,6.1,6.6,42.9,47.6,2.24,45.2,1.52,76.2,0.95,0.2,-70,0.52,42.1,30.7,1911,2.8,1.03,1.11,29
"AXIZ",12,"JP",21,23.8,0.47,1645,-282,334,7.8,16.7,3.7,8,19,52.4,1.52,31.1,0.9,45.2,0.71,-0.4,-2605,0.38,26.3,30.3,1400,3.7,1.45,1.31,15
"Axolotl",12,"IT",14,42.9,1.01,1791,-14,497,14.2,14.1,6.1,6.6,50,57.1,2,44.3,0.79,42.9,0.64,0,188,0.86,50,32.4,2029,3.2,1.33,1.27,14
"Barça eSports",12,"ES",33,57.6,1.07,1824,71,440,14.1,13.2,7.1,5.5,60.6,60.6,2.06,45.9,0.94,47,0.79,0.1,352,0.76,54.2,32.4,1925,3,1.21,1.43,9
"beGenius ESC",12,"FR",18,16.7,0.6,1648,-234,398,9.2,15.3,3.4,7.9,55.6,16.7,1.89,41.4,0.67,33.3,0.89,-0.6,-1502,0.33,24.5,31.2,1702,3.1,1.27,1.26,12
"Berlin International Gaming",12,"DE",24,50,0.88,1778,-47,392,13.5,15.1,5.8,6.5,33.3,50,2.17,52.3,0.75,39.6,0.92,-0.3,-661,0.46,42.9,31.5,1974,2.9,1.21,1.41,8
