Season,Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
S12,Jinx,2025,1042,0.82,1066,959,0.53,4.2,4.6,1.322916667,9.6,549,449,1.4,67,-78
S12,Zeri,595,1949,0.68,346,249,0.58,5,3.7,1.316666667,9.4,569,452,-0.6,4,31
S12,Lee Sin,1332,1194,0.67,685,647,0.51,3.4,4.3,1.334027778,5.4,277,341,-2.6,-1,-44
S12,Xin Zhao,1438,978,0.64,717,721,0.5,2.8,5,1.34375,5.4,304,330,-1.9,-92,-72
S12,Gwen,891,1454,0.63,458,433,0.51,2.8,5,1.327777778,8.1,471,398,0.5,-52,1
S12,Aphelios,1710,545,0.6,839,871,0.49,3.4,4.8,1.3375,9.1,509,433,0.3,94,28
S12,Nautilus,1514,687,0.59,739,775,0.49,2.3,7.2,1.320138889,1.1,140,232,2.2,-45,-37
S12,Ryze,901,1121,0.54,409,492,0.45,3.5,4.7,1.311805556,9,407,406,3.1,69,9
S12,Leona,1328,544,0.5,678,650,0.51,2.4,7.7,1.341666667,1.2,109,233,2.5,-37,-66
S12,LeBlanc,524,1259,0.48,246,278,0.47,4,5.6,1.341666667,7.8,522,382,3.3,118,183
S12,Caitlyn,316,1418,0.46,165,151,0.52,4,3.7,1.372916667,9.1,516,441,7.5,445,59
S12,Jayce,681,1035,0.46,350,331,0.51,2.6,6.6,1.336111111,8.5,658,417,10.3,322,-29
S12,Thresh,729,928,0.44,381,348,0.52,3.1,5.3,1.352083333,1.1,106,234,2.7,-14,-43
S12,Hecarim,736,896,0.44,379,357,0.51,3.5,4.5,1.310416667,5.8,287,347,4.6,91,144
S12,Twisted Fate,323,1261,0.42,182,141,0.56,4.5,3.8,1.334722222,7.7,401,404,-9.1,227,-174
S12,Viego,1082,483,0.42,531,551,0.49,3.3,5.5,1.341666667,5.7,283,350,1.9,87,56
S12,Akali,507,1033,0.41,276,231,0.54,3.1,5.1,1.361805556,7.6,485,386,-4.3,-113,96
S12,Viktor,928,583,0.4,466,462,0.5,3.6,6.5,1.358333333,8.8,644,406,2.7,-65,74
S12,Ahri,812,691,0.4,434,378,0.53,4.5,5.1,1.321527778,8.3,486,399,0.9,97,99
S12,Tryndamere,395,940,0.36,204,191,0.52,2.9,5.7,1.324305556,8.9,388,432,4.3,308,170
S12,Corki,544,789,0.36,290,254,0.53,4.1,4.8,1.384027778,9.2,716,441,1.2,120,-40
S12,Renekton,516,784,0.35,233,283,0.45,2.4,5.1,1.321527778,8.1,360,384,8.2,310,160
S12,Karma,466,830,0.35,204,262,0.44,3.4,4.4,1.353472222,1.9,253,255,-12.3,-109,-157
S12,Camille,512,772,0.34,274,238,0.54,2.5,7.4,1.309722222,7.5,426,387,-4.7,-137,-32
S12,Graves,811,469,0.34,382,429,0.47,2.6,5.7,1.333333333,8.8,498,413,6,179,117
S12,Jarvan IV,609,576,0.32,304,305,0.5,3.4,6,1.336111111,4.9,247,325,-4.8,-149,-193
S12,Volibear,650,533,0.32,345,305,0.53,3.2,4.8,1.325,5,273,324,-5.9,-134,-200
S12,Gnar,767,403,0.31,386,381,0.5,2.5,7.3,1.327777778,8,464,391,3.6,154,109
S12,Rakan,687,459,0.31,361,326,0.53,3.8,7.6,1.331944444,1.2,141,241,2.3,30,-35
S12,Vex,455,640,0.29,233,222,0.51,3.4,6.8,1.330555556,7.7,482,377,-5.6,-145,-186
S12,Diana,302,791,0.29,145,157,0.48,2.8,3.9,1.297222222,6.7,398,375,14.2,365,495
S12,Tahm Kench,598,462,0.28,308,290,0.52,2.8,6.3,1.325694444,1.4,161,238,2.8,-40,62
S12,Syndra,450,609,0.28,199,251,0.44,2.8,7,1.341666667,8.3,512,385,5.1,59,-27
S12,Jhin,706,184,0.24,332,374,0.47,5.3,6.5,1.358333333,8.7,467,412,-3.9,-293,-15
S12,Orianna,507,272,0.21,251,256,0.5,4.4,7.7,1.336111111,8.8,465,400,5.2,-10,63
S12,Xayah,479,265,0.2,241,238,0.5,3.9,5.6,1.338194444,9.2,600,429,0.5,-1,152
S12,Gragas,537,199,0.2,237,300,0.44,2.5,7.5,1.355555556,6.6,380,328,-13.8,-560,-173
S12,Lulu,324,375,0.19,160,164,0.49,4.4,7.1,1.318055556,0.9,108,238,-6.1,-60,-30
S12,Ornn,402,242,0.17,201,201,0.5,3.2,7.3,1.333333333,6.8,354,335,-11.5,-478,-139
S12,Yuumi,215,385,0.16,98,117,0.46,5.3,6.1,1.306944444,0.3,267,233,-13.2,-230,65
S12,Trundle,333,220,0.15,166,167,0.5,3.3,5.7,1.359027778,4.8,241,318,-10,-312,-391
S12,Irelia,150,372,0.14,82,68,0.55,2.1,6.3,1.320138889,8.8,420,420,11.4,200,45
S12,Veigar,204,309,0.14,100,104,0.49,4,6.2,1.331944444,8.4,451,403,-3,-63,-69
S12,Sylas,264,249,0.14,139,125,0.53,3.2,7.6,1.310416667,7.7,450,389,-5.9,-202,-77
S12,Ezreal,387,122,0.14,162,225,0.42,3.2,8.1,1.345833333,8.9,640,415,-1.2,-203,-43
S12,Gangplank,214,293,0.14,121,93,0.57,3.3,7.3,1.365277778,8.5,624,444,4.5,354,-22
S12,Braum,303,181,0.13,134,169,0.44,2.9,8.3,1.3375,1.1,153,228,0.6,-35,42
S12,Zoe,176,284,0.12,87,89,0.49,4.8,5.9,1.341666667,7.8,529,376,0,63,-33
S12,Renata Glasc,210,245,0.12,111,99,0.53,3.8,6.2,1.292361111,1,155,244,-3.6,31,118
S12,Kennen,241,175,0.11,118,123,0.49,2.2,8.1,1.3375,7.6,508,374,2.1,-33,10
S12,Kaisa,263,151,0.11,122,141,0.46,3.9,6.3,1.305555556,8.9,599,436,1.1,-41,43
S12,Galio,192,212,0.11,102,90,0.53,3.6,5.9,1.297916667,6,332,334,-12.1,-313,-196
S12,Sett,247,140,0.1,119,128,0.48,2.1,7.4,1.329166667,4.2,314,309,-0.7,77,4
S12,Alistar,269,99,0.1,129,140,0.48,2.7,8.4,1.347916667,1,128,231,-1.1,-26,-15
S12,Lucian,178,177,0.09,90,88,0.51,3.2,4.7,1.328472222,8.9,528,432,8.1,240,91
S12,Poppy,162,181,0.09,84,78,0.52,2.8,6.4,1.397222222,5.1,246,310,-3.7,-166,-140
S12,Aatrox,226,106,0.09,120,106,0.53,2.8,8.7,1.306944444,8,460,394,9.9,427,350
S12,Malphite,136,196,0.09,75,61,0.55,3.1,8.6,1.301388889,6.6,395,339,-18.9,-846,-166
S12,Sion,231,100,0.09,114,117,0.49,2.8,7.6,1.330555556,7.2,369,350,-11.2,-440,-119
S12,Jax,134,190,0.09,70,64,0.52,2.1,8.1,1.327777778,8.2,395,404,-2.1,-66,-84
S12,Akshan,90,216,0.08,46,44,0.51,2.8,5.2,1.319444444,8.2,455,406,5.9,373,84
S12,Zilean,134,155,0.08,62,72,0.46,4.6,6.4,1.33125,4.3,225,286,-4,-227,207
S12,Yasuo,112,156,0.07,55,57,0.49,2.6,6.3,1.279166667,8.5,346,413,0,26,-95
S12,Lux,179,85,0.07,98,81,0.55,3.3,5.5,1.364583333,1.5,338,265,-7.9,315,71
