Season,Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
S12,Jinx Jinx,2025,1042,82%,1066,959,53%,4.2,4.6,31:45:00,9.6,549,449,1.4,67,-78
S12,Zeri Zeri,595,1949,68%,346,249,58%,5,3.7,31:36:00,9.4,569,452,-0.6,4,31
S12,Lee Sin Lee Sin,1332,1194,67%,685,647,51%,3.4,4.3,32:01:00,5.4,277,341,-2.6,-1,-44
S12,Xin Zhao Xin Zhao,1438,978,64%,717,721,50%,2.8,5,32:15:00,5.4,304,330,-1.9,-92,-72
S12,Gwen Gwen,891,1454,63%,458,433,51%,2.8,5,31:52:00,8.1,471,398,0.5,-52,1
S12,Aphelios Aphelios,1710,545,60%,839,871,49%,3.4,4.8,32:06:00,9.1,509,433,0.3,94,28
S12,Nautilus Nautilus,1514,687,59%,739,775,49%,2.3,7.2,31:41:00,1.1,140,232,2.2,-45,-37
S12,Ryze Ryze,901,1121,54%,409,492,45%,3.5,4.7,31:29:00,9,407,406,3.1,69,9
S12,Leona Leona,1328,544,50%,678,650,51%,2.4,7.7,32:12:00,1.2,109,233,2.5,-37,-66
S12,LeBlanc LeBlanc,524,1259,48%,246,278,47%,4,5.6,32:12:00,7.8,522,382,3.3,118,183
S12,Caitlyn Caitlyn,316,1418,46%,165,151,52%,4,3.7,32:57:00,9.1,516,441,7.5,445,59
S12,Jayce Jayce,681,1035,46%,350,331,51%,2.6,6.6,32:04:00,8.5,658,417,10.3,322,-29
S12,Thresh Thresh,729,928,44%,381,348,52%,3.1,5.3,32:27:00,1.1,106,234,2.7,-14,-43
S12,Hecarim Hecarim,736,896,44%,379,357,51%,3.5,4.5,31:27:00,5.8,287,347,4.6,91,144
S12,Twisted Fate Twisted Fate,323,1261,42%,182,141,56%,4.5,3.8,32:02:00,7.7,401,404,-9.1,227,-174
S12,Viego Viego,1082,483,42%,531,551,49%,3.3,5.5,32:12:00,5.7,283,350,1.9,87,56
S12,Akali Akali,507,1033,41%,276,231,54%,3.1,5.1,32:41:00,7.6,485,386,-4.3,-113,96
S12,Viktor Viktor,928,583,40%,466,462,50%,3.6,6.5,32:36:00,8.8,644,406,2.7,-65,74
S12,Ahri Ahri,812,691,40%,434,378,53%,4.5,5.1,31:43:00,8.3,486,399,0.9,97,99
S12,Tryndamere Tryndamere,395,940,36%,204,191,52%,2.9,5.7,31:47:00,8.9,388,432,4.3,308,170
S12,Corki Corki,544,789,36%,290,254,53%,4.1,4.8,33:13:00,9.2,716,441,1.2,120,-40
S12,Renekton Renekton,516,784,35%,233,283,45%,2.4,5.1,31:43:00,8.1,360,384,8.2,310,160
S12,Karma Karma,466,830,35%,204,262,44%,3.4,4.4,32:29:00,1.9,253,255,-12.3,-109,-157
S12,Camille Camille,512,772,34%,274,238,54%,2.5,7.4,31:26:00,7.5,426,387,-4.7,-137,-32
S12,Graves Graves,811,469,34%,382,429,47%,2.6,5.7,32:00:00,8.8,498,413,6,179,117
S12,Jarvan IV Jarvan IV,609,576,32%,304,305,50%,3.4,6,32:04:00,4.9,247,325,-4.8,-149,-193
S12,Volibear Volibear,650,533,32%,345,305,53%,3.2,4.8,31:48:00,5,273,324,-5.9,-134,-200
S12,Gnar Gnar,767,403,31%,386,381,50%,2.5,7.3,31:52:00,8,464,391,3.6,154,109
S12,Rakan Rakan,687,459,31%,361,326,53%,3.8,7.6,31:58:00,1.2,141,241,2.3,30,-35
S12,Vex Vex,455,640,29%,233,222,51%,3.4,6.8,31:56:00,7.7,482,377,-5.6,-145,-186
S12,Diana Diana,302,791,29%,145,157,48%,2.8,3.9,31:08:00,6.7,398,375,14.2,365,495
S12,Tahm Kench Tahm Kench,598,462,28%,308,290,52%,2.8,6.3,31:49:00,1.4,161,238,2.8,-40,62
S12,Syndra Syndra,450,609,28%,199,251,44%,2.8,7,32:12:00,8.3,512,385,5.1,59,-27
S12,Jhin Jhin,706,184,24%,332,374,47%,5.3,6.5,32:36:00,8.7,467,412,-3.9,-293,-15
S12,Orianna Orianna,507,272,21%,251,256,50%,4.4,7.7,32:04:00,8.8,465,400,5.2,-10,63
S12,Xayah Xayah,479,265,20%,241,238,50%,3.9,5.6,32:07:00,9.2,600,429,0.5,-1,152
