Season,Tourament_type,Tourament_Name,Region,Game_No,Game_Duration,First_Gane,Last_Game
S12,LPLOL,LPLOL Spring Playoffs 2022,PT,17,08:02:00,Wednesday 9 March 2022,Saturday 19 March 2022
S12,LJL,LJL Spring Playoffs 2022,JP,24,09:50:00,Wednesday 30 March 2022,Sunday 10 April 2022
S12,LCK,LCK Spring Playoffs 2022,KR,20,09:33:00,Wednesday 23 March 2022,Saturday 2 April 2022
S12,LVP,LVP SL Spring 2022,ES,90,09:02:00,Monday 10 January 2022,Thursday 10 March 2022
S12,LCS,LCS Proving Grounds Spring 2022,NA,90,07:13:00,Wednesday 16 March 2022,Friday 15 April 2022
S12,LFL,LFL Spring Playoffs 2022,FR,24,10:40:00,Wednesday 16 March 2022,Thursday 31 March 2022
S12,LCK,LCK Spring 2022,KR,213,10:07:00,Wednesday 12 January 2022,Sunday 20 March 2022
S12,LFL,LFL Spring 2022,FR,90,09:52:00,Wednesday 12 January 2022,Thursday 10 March 2022
S12,CBLOL,CBLOL Academy Split 1 Playoffs 2022,BR,20,09:02:00,Tuesday 5 April 2022,Saturday 16 April 2022
S12,CBLOL,CBLOL Academy Split 1 2022,BR,90,07:50:00,Tuesday 25 January 2022,Wednesday 23 March 2022
S12,LVP,LVP SL Spring Playoffs 2022,ES,21,07:37:00,Monday 14 March 2022,Wednesday 30 March 2022
S12,EU Masters,EU Masters Spring 2022,WR,74,07:56:00,Thursday 14 April 2022,Saturday 7 May 2022
S12,LCS,LCS Spring 2022,NA,92,09:25:00,Saturday 5 February 2022,Sunday 27 March 2022
S12,LLA,LLA Opening 2022,LAT,58,09:38:00,Saturday 29 January 2022,Sunday 13 March 2022
S12,LPL,LPL Spring Playoffs 2022,CN,51,08:40:00,Saturday 26 March 2022,Saturday 23 April 2022
S12,CBLOL,CBLOL Split 1 2022,BR,90,08:41:00,Saturday 22 January 2022,Sunday 20 March 2022
S12,LCS,LCS Spring Playoffs 2022,NA,29,07:57:00,Saturday 2 April 2022,Sunday 24 April 2022
S12,LCL,LCL Spring 2022,CIS,16,05:47:00,Saturday 12 February 2022,Sunday 20 February 2022
S12,EBL,EBL Spring Playoffs 2022,RS,14,07:50:00,Monday 7 March 2022,Saturday 19 March 2022
S12,GLL,GLL Spring Playoffs 2022,GR,14,06:49:00,Monday 7 March 2022,Sunday 20 March 2022
S12,EU Masters,EU Masters Spring Play-In 2022,WR,58,07:01:00,Monday 4 April 2022,Thursday 7 April 2022
S12,LCO,LCO Sprit 1 Playoffs 2022,OCE,22,08:13:00,Monday 28 March 2022,Monday 11 April 2022
S12,LCO,LCO Split 1 2022,OCE,84,05:24:00,Monday 24 January 2022,Tuesday 22 March 2022
S12,LCK,LCK CL Spring Playoffs 2022,KR,23,07:53:00,Monday 21 March 2022,Friday 1 April 2022
S12,LFL,LFL Div2 Spring Playoffs 2022,FR,23,09:36:00,Monday 21 March 2022,Tuesday 5 April 2022
S12,EBL,EBL Spring 2022,RS,56,07:15:00,Monday 17 January 2022,Thursday 3 March 2022
S12,Elite,Elite Series Spring 2022,BE,56,09:03:00,Monday 17 January 2022,Wednesday 2 March 2022
S12,GLL,GLL Spring 2022,GR,56,07:10:00,Monday 17 January 2022,Tuesday 1 March 2022
S12,LFL,LFL Div2 Spring 2022,FR,90,08:52:00,Monday 17 January 2022,Tuesday 15 March 2022
S12,LPLOL,LPLOL Spring 2022,PT,56,07:35:00,Monday 17 January 2022,Wednesday 2 March 2022
S12,LCK,LCK CL Spring 2022,KR,181,05:36:00,Monday 10 January 2022,Saturday 19 March 2022
S12,LPL,LPL Spring 2022,CN,341,07:26:00,Monday 10 January 2022,Friday 25 March 2022
S12,CBLOL,CBLOL Split 1 Playoffs 2022,BR,32,09:59:00,Friday 25 March 2022,Saturday 23 April 2022
S12,LEC,LEC Spring Playoffs 2022,EUW,30,08:03:00,Friday 25 March 2022,Sunday 10 April 2022
S12,LLA,LLA Opening Playoffs 2022,LAT,31,10:17:00,Friday 18 March 2022,Saturday 16 April 2022
S12,Demacia,Demacia Cup 2021,CN,66,07:35:00,Friday 17 December 2021,Sunday 26 December 2021
S12,LCS,LCS Lock In 2022,NA,39,07:52:00,Friday 14 January 2022,Sunday 30 January 2022
S12,LEC,LEC Spring 2022,EUW,90,09:06:00,Friday 14 January 2022,Sunday 6 March 2022
S12,Elite,Elite Series Spring Playoffs 2022,BE,17,07:40:00,Friday 11 March 2022,Saturday 19 March 2022
S12,LJL,LJL Spring 2022,JP,84,06:59:00,Friday 11 February 2022,Friday 25 March 2022
S12,Kespa,Kespa Cup 2021,KR,39,05:55:00,Friday 10 December 2021,Sunday 12 December 2021
S12,NA,NA Academy Spring 2022,NA,180,07:26:00,Wednesday 19 January 2022,Friday 11 March 2022
S12,NLC,NLC Spring 2022,EUW,90,08:03:00,Monday 10 January 2022,Wednesday 9 March 2022
S12,NLC,NLC Spring Playoffs 2022,EUW,21,06:51:00,Monday 14 March 2022,Wednesday 30 March 2022
S12,PCS,PCS Spring 2022,PCS,91,05:41:00,Friday 11 February 2022,Sunday 20 March 2022
S12,PCS,PCS Spring Playoffs 2022,PCS,45,07:46:00,Thursday 31 March 2022,Sunday 17 April 2022
S12,PG,PG Nationals Spring 2022,IT,56,09:14:00,Tuesday 18 January 2022,Wednesday 2 March 2022
S12,PG,PG Nationals Spring Playoffs 2022,IT,14,08:14:00,Tuesday 8 March 2022,Sunday 20 March 2022
S12,Prime League,Prime League Spring 2022,DE,90,08:14:00,Tuesday 11 January 2022,Thursday 24 February 2022
S12,Prime League,Prime League Spring Playoffs 2022,DE,20,08:18:00,Tuesday 1 March 2022,Sunday 20 March 2022
S12,Hitpoint Master,Hitpoint Masters Spring 2022,CZ,56,06:39:00,Monday 17 January 2022,Thursday 3 March 2022
S12,Hitpoint Master,Hitpoint Masters Spring Playoffs 2022,CZ,16,09:49:00,Thursday 10 March 2022,Sunday 20 March 2022
S12,TCL,TCL Winter 2022,TR,91,08:12:00,Saturday 22 January 2022,Sunday 20 March 2022
S12,TCL,TCL Winter Playoffs 2022,TR,20,09:05:00,Saturday 26 March 2022,Saturday 9 April 2022
S12,Turkey,Turkey Academy Winter 2022,TR,93,07:55:00,Thursday 20 January 2022,Friday 18 March 2022
